school_name,new_code,region_id,zone_id,woreda_id,sector_id,ownership_id,established_year
23 TECHNIKINA MUYA,S1001010016,10,1,1,1,1,
MEKELETE UNION,S1001010021,10,1,1,3,4,
Mizan hulegeb Schemacoch,S1001010031,10,1,1,3,8,
ABNET ACADAMY,S1001020012,10,1,2,4,4,
Barak Youth,S1001020022,10,1,2,4,4,
Barak Youth Academy,S1001020031,10,1,2,3,4,
Bethlehem youth,S1001020041,10,1,2,3,4,
Bethlehem youth,S1001020052,10,1,2,4,4,
Birhanena Selam,S1001020062,10,1,2,4,1,
Deja.Hailu Tesfaye,S1001020071,10,1,2,3,1,
Deja.Hailu Tesfaye,S1001020082,10,1,2,4,1,
Dejazmach  Haylu Tesfaye,S1001020096,10,1,2,1,1,
Dilachin,S1001020103,10,1,2,5,1,
felege hiwot,S1001020116,10,1,2,1,4,
Felege Hiywot,S1001020122,10,1,2,4,1,
Gelila,S1001020131,10,1,2,5,1,2002
Gelila,S1001020142,10,1,2,4,1,
Gelila Primary,S1001020156,10,1,2,1,1,
Kebede Yirga,S1001020161,10,1,2,3,4,
Messi,S1001020171,10,1,2,3,1,
Radical Academy,S1001020183,10,1,2,4,4,2008
Tsehay Gibat,S1001020192,10,1,2,4,1,
tsehaye  gibate,S1001020206,10,1,2,1,1,
Tsiehay Gibat,S1001020211,10,1,2,3,1,
Tsion Mariam,S1001020221,10,1,2,3,4,
Beruh Tesfa,S1001030011,10,1,3,3,4,2015
beruh tesfa,S1001030026,10,1,3,1,3,
Hamile 19 No 2,S1001030032,10,1,3,4,1,
Hamile19.No.2,S1001030041,10,1,3,3,1,
Little Star,S1001030051,10,1,3,3,4,
Little Star no 2,S1001030061,10,1,3,3,4,
Mimoza Youth,S1001030071,10,1,3,3,4,
Mimoza Youth Academy,S1001030082,10,1,3,4,4,
Mirchay Ewuket,S1001030092,10,1,3,4,1,
Sefere Selam,S1001030101,10,1,3,3,1,
Sefere Selam,S1001030112,10,1,3,4,1,
Sefere selam,S1001030126,10,1,3,1,1,
Abyssinia secondary school,S1001040013,10,1,4,5,1,
Bethel Mekan Yesus,S1001040023,10,1,4,5,6,
Bethel Mekane Yesus,S1001040031,10,1,4,3,5,
Bethel Mekane Yesus,S1001040042,10,1,4,4,5,
DIL BETIGLE,S1001040051,10,1,4,3,8,
Edgt,S1001040062,10,1,4,4,1,
Ediget Primary School,S1001040076,10,1,4,1,1,
Ethio-parent,S1001040081,10,1,4,3,8,
Halealuya Primary,S1001040096,10,1,4,1,1,
Haleluya,S1001040101,10,1,4,3,1,
Haleluya,S1001040112,10,1,4,4,1,
Hibret Belijinet,S1001040122,10,1,4,4,1,
hibret beljinet,S1001040131,10,1,4,3,1,
Merewa,S1001040141,10,1,4,3,1,
MINBER ACADAMY,S1001040151,10,1,4,3,4,
Phase Academy,S1001040161,10,1,4,3,4,
Phase Academy,S1001040172,10,1,4,4,4,
Phase Academy no 2,S1001040181,10,1,4,3,4,
Phase Akadamim 5-8,S1001040192,10,1,4,4,4,
Addis Ketema Mesenado,S1001050013,10,1,5,5,1,
betiweded,S1001050022,10,1,5,4,1,
Bitweded Primary school,S1001050036,10,1,5,1,1,
Bitwoded W/G/Besha,S1001050041,10,1,5,3,1,
Eweket Amba,S1001050052,10,1,5,4,1,
Ewket Amba,S1001050066,10,1,5,1,1,
Felege Berhane,S1001050072,10,1,5,4,1,
FELEGE BIRHAN,S1001050081,10,1,5,3,4,2003
Felege Birhan,S1001050096,10,1,5,1,1,
Gulele Betel,S1001050101,10,1,5,3,5,
May day,S1001050116,10,1,5,1,1,
Mayday primeray scchol,S1001050122,10,1,5,4,1,
St Michael Cathedral,S1001050132,10,1,5,4,6,
unvers youth,S1001050141,10,1,5,3,4,
Wereda 6 kebele 31,S1001050151,10,1,5,3,8,
Yelem LiYunet,S1001050161,10,1,5,3,8,
Yeweket Ameba,S1001050171,10,1,5,3,1,
atone acadami,S1001060011,10,1,6,3,4,
Dagemawi Birhan,S1001060026,10,1,6,1,1,
Dagimawi Birhan,S1001060032,10,1,6,4,1,
Dagmawi Birhan,S1001060041,10,1,6,3,1,
Dagmawi Tewodros,S1001060052,10,1,6,4,1,
Debre Hail Kidus Raguel,S1001060063,10,1,6,5,6,
Kidus Raguel,S1001060072,10,1,6,4,6,
Shawel Dema,S1001060081,10,1,6,3,1,
Shawel Dema,S1001060092,10,1,6,4,1,
Univers Youth,S1001060101,10,1,6,3,4,
Yekatit 23,S1001060113,10,1,6,5,1,
Yekatit 23 liyu flagot,S1001060121,10,1,6,3,1,
Yekatit 23 liyu flagot,S1001060132,10,1,6,4,1,
Abader No-2,S1001070012,10,1,7,4,10,
Asina,S1001070021,10,1,7,3,4,
Asina,S1001070032,10,1,7,4,4,
Dej/Geneme,S1001070042,10,1,7,4,1,
Dejach Geneme,S1001070051,10,1,7,3,1,
Eshet,S1001070061,10,1,7,3,1,
Eshet,S1001070072,10,1,7,4,1,
Geneme,S1001070086,10,1,7,1,1,
Kaus meda multi purpese,S1001070091,10,1,7,3,8,
keste Demena,S1001070101,10,1,7,3,1,
Keste Demena,S1001070112,10,1,7,4,1,
keste demena,S1001070126,10,1,7,1,1,
natanim,S1001070131,10,1,7,3,10,
Newlife Acadamy,S1001070141,10,1,7,3,4,
Abader No.3,S1001080012,10,1,8,4,8,
Alhuda,S1001080022,10,1,8,4,4,
Asere Hawariyat,S1001080032,10,1,8,4,8,
Berhan Ber,S1001080041,10,1,8,3,1,
Berhan ber primari schoool,S1001080052,10,1,8,4,1,
Bingham  Academy,S1001080061,10,1,8,3,1,
Bingham Academy,S1001080072,10,1,8,4,2,
Bingham Academy,S1001080083,10,1,8,5,2,
Birhan Ber,S1001080096,10,1,8,1,1,
Dejazmach Oumer Semeter,S1001080103,10,1,8,5,1,
Abbay,S1001090011,10,1,9,3,8,
Abem Youth,S1001090021,10,1,9,3,4,
Abem Youth,S1001090032,10,1,9,4,4,
Al Imran NO 2,S1001090041,10,1,9,3,4,
Fire No 1,S1001090051,10,1,9,3,4,
Fire No 2,S1001090061,10,1,9,3,4,
Kolfe,S1001090073,10,1,9,4,1,2003
Noteredam,S1001090082,10,1,9,4,4,
Philipos,S1001090092,10,1,9,4,1,
PHILIPOS KG,S1001090101,10,1,9,3,1,
Readymade,S1001090111,10,1,9,3,4,
Sor amba,S1001090126,10,1,9,1,1,
Sora Amba,S1001090132,10,1,9,4,1,
Ye- abeboch Firie,S1001090146,10,1,9,1,1,
Yeabeboch Fire,S1001090152,10,1,9,4,1,
Al Imran NO 1,S1001100011,10,1,10,3,8,
Eweka wegaen,S1001100026,10,1,10,1,1,
Ewket Wegene,S1001100032,10,1,10,4,1,
Ewkete wogeane,S1001100041,10,1,10,3,1,
Huda,S1001100051,10,1,10,4,4,2012
Kolfe mekena yesus,S1001100061,10,1,10,3,6,
Millinum,S1001100073,10,1,10,5,1,
3A,S1001110011,10,1,11,3,4,
AL-AFIA,S1001110021,10,1,11,3,4,
Ardi Youth,S1001110031,10,1,11,3,4,
Ardi youth acadamy,S1001110042,10,1,11,4,4,
ARDI YOUTH ACADAMY No 2,S1001110051,10,1,11,3,4,
Ardi Youth Academy No2,S1001110062,10,1,11,4,4,
Asere Hawariat,S1001110072,10,1,11,4,4,
Asko,S1001110083,10,1,11,5,1,
Asko progress,S1001110091,10,1,11,3,4,
Asko progress,S1001110102,10,1,11,4,4,
Aster Bete Fikir,S1001110111,10,1,11,3,4,
Aster Bete fikir,S1001110122,10,1,11,4,4,
Bashewam,S1001110131,10,1,11,3,4,
Bashewam,S1001110143,10,1,11,5,4,
Bashewam primary,S1001110152,10,1,11,4,4,
Berketule Habesha,S1001110161,10,1,11,3,4,
Besrat Primary,S1001110176,10,1,11,1,1,
Bisrat,S1001110182,10,1,11,4,1,
Dagmawi Birhan,S1001110191,10,1,11,3,1,
Dagmawi Birhan,S1001110202,10,1,11,4,1,
EMPERIAL,S1001110211,10,1,11,3,4,
emperial,S1001110223,10,1,11,5,8,
EMPIRIAL,S1001110232,10,1,11,4,4,
Fares,S1001110241,10,1,11,3,4,2004
Gardyan Acadamy,S1001110251,10,1,11,3,4,
Gulele Fana,S1001110261,10,1,11,3,10,
Gulele fana,S1001110272,10,1,11,4,1,
gulele fana,S1001110286,10,1,11,1,10,
Icon,S1001110291,10,1,11,3,4,
Icon Academy no 2,S1001110301,10,1,11,3,4,
lemen land,S1001110316,10,1,11,1,1,
Lemonland,S1001110321,10,1,11,3,4,
Mikililand,S1001110332,10,1,11,4,1,
New life,S1001110341,10,1,11,3,4,
New Life,S1001110352,10,1,11,4,4,
progersess akadame,S1001110363,10,1,11,5,4,
saint francis community center,S1001110371,10,1,11,3,6,
Therry,S1001110381,10,1,11,3,4,
Umehat,S1001110391,10,1,11,3,4,
Access,S1001120011,10,1,12,3,4,
Addis Fana,S1001120022,10,1,12,4,1,1993
Addis Fana,S1001120036,10,1,12,1,1,
Asko addis sefer,S1001120042,10,1,12,4,1,
